Airline,Source,Destination,Duration,Total stops,Date,Departure time,Arrival time,Price
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-10,12:40,7:35,€ 475 
Royal Jordanian,TLV,BKK,9u 55m ,1 stop ,2023-02-10,23:30,14:25,€ 532 
Meerdere maatschappijen,TLV,BKK,37u 45m ,3 stops ,2023-02-10,9:45,4:30,€ 269 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-10,12:40,7:35,€ 460 
"Wizz Air, Salam Air",TLV,BKK,15u 45m ,2 stops ,2023-02-10,9:45,6:30,€ 391 
Royal Jordanian,TLV,BKK,15u 40m ,1 stop ,2023-02-10,17:45,14:25,€ 447 
Emirates,TLV,BKK,14u 45m ,1 stop ,2023-02-10,11:50,7:35,€ 460 
Ethiopian Air,TLV,BKK,22u 40m ,1 stop ,2023-02-10,9:00,12:40,€ 492 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-10,23:45,18:40,€ 501 
"Wizz Air, IndiGo",TLV,BKK,23u 50m ,2 stops ,2023-02-10,9:45,14:35,€ 317 
"Wizz Air Abu Dhabi, GoFirst",TLV,BKK,22u 15m ,2 stops ,2023-02-10,9:45,13:00,€ 334 
"Wizz Air Abu Dhabi, GoFirst",TLV,BKK,20u 40m ,2 stops ,2023-02-10,9:45,11:25,€ 344 
"Wizz Air Abu Dhabi, Salam Air",TLV,BKK,15u 45m ,2 stops ,2023-02-10,9:45,6:30,€ 422 
Turkish Airlines,TLV,BKK,13u 50m ,1 stop ,2023-02-10,15:20,10:10,€ 810 
Meerdere maatschappijen,TLV,BKK,23u 50m ,2 stops ,2023-02-10,9:45,14:35,€ 327 
Meerdere maatschappijen,TLV,BKK,20u 40m ,3 stops ,2023-02-10,9:45,11:25,€ 377 
"EL AL, Vistara",TLV,BKK,18u 55m ,2 stops ,2023-02-10,13:40,13:35,€ 420 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-11,12:40,7:35,€ 475 
Royal Jordanian,TLV,BKK,9u 55m ,1 stop ,2023-02-11,23:30,14:25,€ 507 
Meerdere maatschappijen,TLV,BKK,38u 05m ,3 stops ,2023-02-11,9:25,4:30,€ 242 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-11,12:40,7:35,€ 457 
Etihad Airways,TLV,BKK,13u 15m ,1 stop ,2023-02-11,13:40,7:55,€ 501 
Emirates,TLV,BKK,12u 40m ,1 stop ,2023-02-11,18:25,12:05,€ 503 
Air India,TLV,BKK,16u 10m ,1 stop ,2023-02-11,22:10,19:20,€ 395 
Emirates,TLV,BKK,14u 45m ,1 stop ,2023-02-11,11:50,7:35,€ 462 
Emirates,TLV,BKK,13u 35m ,1 stop ,2023-02-11,0:05,18:40,€ 522 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-02-11,18:25,12:45,€ 599 
Emirates,TLV,BKK,19u 15m ,1 stop ,2023-02-11,18:25,18:40,€ 462 
Emirates,TLV,BKK,16u 40m ,1 stop ,2023-02-11,9:55,7:35,€ 475 
"Arkia, Kuwait Airways",TLV,BKK,14u 55m ,2 stops ,2023-02-11,6:15,2:10,€ 487 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-11,23:45,18:40,€ 537 
EL AL,TLV,BKK,10u 45m ,direct ,2023-02-11,22:30,14:15,€ 761 
"Wizz Air, GoFirst",TLV,BKK,22u 35m ,2 stops ,2023-02-11,9:25,13:00,€ 297 
"Wizz Air Abu Dhabi, GoFirst",TLV,BKK,21u 00m ,2 stops ,2023-02-11,9:25,11:25,€ 317 
Emirates,TLV,BKK,14u 45m ,1 stop ,2023-02-12,11:50,7:35,€ 475 
Emirates,TLV,BKK,14u 45m ,1 stop ,2023-02-12,11:50,7:35,€ 475 
Emirates,TLV,BKK,13u 55m ,1 stop ,2023-02-12,23:45,18:40,€ 475 
EL AL,TLV,BKK,10u 45m ,direct ,2023-02-12,23:05,14:50,€ 514 
Emirates,TLV,BKK,13u 20m ,1 stop ,2023-02-12,18:25,12:45,€ 559 
EL AL,TLV,BKK,10u 45m ,direct ,2023-02-12,20:15,12:00,€ 596 
